Image,Genre,Style
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1974 at 0x22CF3B70880>,6,17
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2045x1382 at 0x22CF3B70A60>,4,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x2004 at 0x22CF3B70C40>,2,21
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1893x1382 at 0x22CF3B70E20>,7,24
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x2212 at 0x22CF3B71000>,6,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1682 at 0x22CF3B711E0>,6,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1685x1382 at 0x22CF3B713C0>,1,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1906x1382 at 0x22CF3B715A0>,4,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1382 at 0x22CF3B71780>,4,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1668x1382 at 0x22CF3B71960>,1,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1899x1382 at 0x22CF3B71B40>,4,20
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1552x1382 at 0x22CF3B71D20>,2,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1744 at 0x22CF3B71F30>,3,23
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2108x1382 at 0x22CF3B72110>,4,24
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1752x1382 at 0x22CF3B72320>,10,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2146x1382 at 0x22CF3B72500>,1,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1995x1382 at 0x22CF3B72710>,1,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1968x1382 at 0x22CF3B728F0>,2,20
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1845x1382 at 0x22CF3B72AD0>,1,3
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1776x1382 at 0x22CF3B72CB0>,5,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2462x1382 at 0x22CF3B72E90>,2,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1842x1382 at 0x22CF3B73040>,10,9
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1939x1382 at 0x22CF3B73220>,4,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1601 at 0x22CF3B73400>,6,21
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2050x1382 at 0x22CF3B735E0>,4,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1823x1382 at 0x22CF3B737C0>,4,24
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2126x1382 at 0x22CF3B739A0>,2,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1865x1382 at 0x22CF3B73B80>,4,12
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1382x1718 at 0x22CF3B73D60>,10,4
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1669x1382 at 0x22CF3B73F40>,9,7
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1532x1382 at 0x22CF3B78160>,2,17
